Selection and PL reported in the same study,Author(s) of Selection study,Publication year,Journal,volume.and.pp,Family,Species,Trait type,Trait name in study,N.Diff.linear.value,Diff.linear.value,N.Grad.linear,Grad.linear.value,Author(s) of pollen limitation study,Publication year,Journal,volume.and.pp,Best PL,Statistically significant PL
Yes,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,Boraginaceae,Mertensia fusiformis,phenology,flowering date,85,-0.042,85,0.078,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,0.105726872,no
Yes,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,Boraginaceae,Mertensia fusiformis,flower number,flower number,85,0.99,85,1.02,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,0.105726872,no
Yes,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,Boraginaceae,Mertensia fusiformis,phenology,flowering date,81,-0.51,81,-0.19,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,0.21529745,no
Yes,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,Boraginaceae,Mertensia fusiformis,flower number,flower number,81,0.848,81,0.775,"Forrest, Thomson",2010,American Journal of Botany,97:38-48,0.21529745,no
Yes,Galen,1996,Evolution,50:120-125,Polemoniaceae,Polemonium viscosum,floral size,corolla flare,94,1.8,NA,NA,Galen,1996,Evolution,50:120-125,0.005578801,no
No,"Hai-Qin Sun, Jin Cheng, Fu-Min Zhang, Yi-Bo Luo, Song Ge",2009,Annals of Botany,103:1227-1237,Orchidaceae,Cypripedium japonicum,phenology,opening date,346,-0.479,346,-0.844,"Hai-Qin Sun, Jin Cheng, Fu-Min Zhang, Yi-Bo Luo, Song Ge",2009,Annals of Botany,103:1227-1237,0.850605653,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,vegetative tissue area,leaf number,NA,NA,34,-0.2,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.505631068,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,plant size,plant height,NA,NA,34,-0.4,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.505631068,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,flower number,flower number,NA,NA,34,0.2,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.505631068,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,floral size,flower size,NA,NA,34,0.4,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.505631068,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,vegetative tissue area,leaf number,NA,NA,43,-0.2,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.415564904,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,plant size,plant height,NA,NA,43,0.1,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.415564904,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,flower number,flower number,NA,NA,43,0.8,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.415564904,yes
Yes,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,Campanulaceae,Campanula persicifolia,floral size,flower size,NA,NA,43,0.2,"Hansen, Totland",2006,Canadian Journal of Botany,84:412-420,0.415564904,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia cardinalis,flower number,Flower number,133,1.35,133,1.35,Johnston,1991,Ecology,72:1500-1503,0.664937311,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia cardinalis,plant size,plant height,133,0.97,133,0.11,Johnston,1991,Ecology,72:1500-1503,0.664937311,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia cardinalis,phenology,median-flower date,133,-0.33,133,0.19,Johnston,1991,Ecology,72:1500-1503,0.664937311,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia cardinalis,flower number,Flower number,117,1.3,117,1.25,Johnston,1991,Ecology,72:1500-1503,0.538374291,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia cardinalis,plant size,plant height,117,1,117,0.33,Johnston,1991,Ecology,72:1500-1503,0.538374291,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia cardinalis,phenology,median-flower date,117,-0.43,117,-0.031,Johnston,1991,Ecology,72:1500-1503,0.538374291,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia siphilitica,flower number,Flower number,46,1.17,46,0.86,Johnston,1991,Ecology,72:1500-1503,0.735979292,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia siphilitica,plant size,plant height,46,0.89,46,0.27,Johnston,1991,Ecology,72:1500-1503,0.735979292,yes
No,Johnston,1991,Evolution,45:1468-1479,Campanulaceae,Lobelia siphilitica,phenology,median-flower date,46,-0.098,46,-0.16,Johnston,1991,Ecology,72:1500-1503,0.735979292,yes
Yes,"Juenger, Bergelson",1997,Ecology,78:1648-1695,Polemoniaceae,Ipomopsis aggregata,plant size,plant height,NA,NA,55,0.303,"Juenger, Bergelson",1997,Ecology,78:1648-1695,0.232098765,yes
Yes,"Juenger, Bergelson",1997,Ecology,78:1648-1695,Polemoniaceae,Ipomopsis aggregata,phenology,day of first flower,NA,NA,55,-0.13,"Juenger, Bergelson",1997,Ecology,78:1648-1695,0.232098765,yes
Yes,O'Connell and Johnston 1998,1998,Ecology,79:1246-1260,Orchidaceae,Cypripedium acaule Ait,phenology,opening date,259,-0.81,258,-0.79,"O'Connell, Johnston",1998,Ecology,79:1246-1260,0.945945946,yes
Yes,O'Connell and Johnston 1998,1998,Ecology,79:1246-1260,Orchidaceae,Cypripedium acaule Ait,floral size,labellum length,259,-0.31,NA,-0.78,"O'Connell, Johnston",1998,Ecology,79:1246-1260,0.945945946,yes
Yes,"Parachnowitsch, Caruso",2008,Ecology,89:1802-1810,Campanulaceae,Lobelia siphilitica,phenology,date of first flower,NA,NA,76,0.127,"Parachnowitsch, Caruso",2008,Ecology,89:1802-1810,0.035714286,no
Yes,"Parachnowitsch, Caruso",2008,Ecology,89:1802-1810,Campanulaceae,Lobelia siphilitica,flower number,flower number,NA,NA,76,0.38,"Parachnowitsch, Caruso",2008,Ecology,89:1802-1810,0.035714286,no
Yes,"Parachnowitsch, Caruso",2008,Ecology,89:1802-1810,Campanulaceae,Lobelia siphilitica,plant size,inflorescence height,NA,NA,76,0.083,"Parachnowitsch, Caruso",2008,Ecology,89:1802-1810,0.035714286,no
Yes,"Parachnowitsch, Caruso",2008,Ecology,89:1802-1810,Campanulaceae,Lobelia siphilitica,floral size,flower size,NA,NA,76,0.049,"Parachnowitsch, Caruso",2008,Ecology,89:1802-1810,0.035714286,no
Yes,"Sandring, Agren",2009,Evolution,63:1292-1300,Brassicaceae,Arabidopsis lyrata,phenology,flowering start,NA,NA,221,0.09,"Sandring, Agren",2009,Evolution,63:1292-1300,0.203389831,yes
Yes,"Sandring, Agren",2009,Evolution,63:1292-1300,Brassicaceae,Arabidopsis lyrata,floral size,petal size,NA,NA,221,0.13,"Sandring, Agren",2009,Evolution,63:1292-1300,0.203389831,yes
Yes,"Sandring, Agren",2009,Evolution,63:1292-1300,Brassicaceae,Arabidopsis lyrata,vegetative tissue area,rosette area,NA,NA,221,0.08,"Sandring, Agren",2009,Evolution,63:1292-1300,0.203389831,yes
Yes,"Sandring, Agren",2009,Evolution,63:1292-1300,Brassicaceae,Arabidopsis lyrata,phenology,flowering start,NA,NA,208,0.19,"Sandring, Agren",2009,Evolution,63:1292-1300,0.278969957,yes
Yes,"Sandring, Agren",2009,Evolution,63:1292-1300,Brassicaceae,Arabidopsis lyrata,floral size,petal size,NA,NA,208,0.11,"Sandring, Agren",2009,Evolution,63:1292-1300,0.278969957,yes
Yes,"Sandring, Agren",2009,Evolution,63:1292-1300,Brassicaceae,Arabidopsis lyrata,vegetative tissue area,rosette area,NA,NA,208,-0.19,"Sandring, Agren",2009,Evolution,63:1292-1300,0.278969957,yes
Yes,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,Orchidaceae,Gymnadenia conopsea,plant size,plant height,NA,NA,197,0.11,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,0.244791667,yes
Yes,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,Orchidaceae,Gymnadenia conopsea,flower number,flower number,NA,NA,197,0.38,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,0.244791667,yes
Yes,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,Orchidaceae,Gymnadenia conopsea,floral size,corolla size,NA,NA,197,0.07,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,0.244791667,yes
Yes,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,Orchidaceae,Gymnadenia conopsea,plant size,plant height,NA,NA,215,0.034,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,0.318965517,yes
Yes,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,Orchidaceae,Gymnadenia conopsea,flower number,flower number,NA,NA,215,0.5,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,0.318965517,yes
